,,,,,,,,,,,S&P500,Nasdaq,Overnight Index Swap Rate (USD),VIX Index
time,ADA,BCH,BTC,DOGE,ETH,LINK,LTC,MANA,XLM,XRP,SPXT,XCMP,USSOC,VIX
2017/11/07,0.010983982,0.024767276,0.020622971,0.021872266,-0.016777845,0.059033989,0.110458716,0.311637081,0.053365888,0.020864382,-0.00018,-0.00274,0.00387,0.05213
2017/11/08,0.135808058,0.02345589,0.048095456,0.02140411,0.053145559,0.230292793,0.030733642,0.165413534,0.112582781,0.054501217,0.00146,0.00317,0.00616,-0.01112
2017/11/09,0.284575528,0.052930792,-0.042283017,0.16093881,0.040052058,0.016933638,0.028374479,-0.114193548,0.161309524,-0.005999077,-0.00352,-0.00572,0.00153,0.07362
2017/11/10,-0.181197642,0.531172607,-0.079077479,-0.163898917,-0.071325784,-0.164716472,-0.080436477,-0.053168245,-0.158892875,-0.056174559,-0.00054,0.00054,0.00306,0.07524
2017/11/11,0.030693444,0.331685754,-0.034411648,0.011226252,0.05851243,-0.023168103,0.053398881,0.076923077,-0.00670323,0.029021151,0.00000,0.00000,0.00000,0.00000
2017/11/12,-0.113970588,0.038549745,-0.072829684,-0.094790777,-0.026127359,-0.071704357,-0.057933698,-0.078571429,-0.124539877,-0.084608031,0.00000,0.00000,0.00000,0.00000
2017/11/13,0.066390041,-0.015464966,0.109613091,0.095283019,0.028037383,0.091503268,0.042022549,-0.024031008,0.051506657,0.044908616,0.00101,0.00100,0.00229,0.01860
2017/11/14,0.019066148,-0.07617846,0.011438953,0.007751938,0.063954228,0.02340773,0.01852459,-0.023034154,0.196267911,0.024487756,-0.00216,-0.00286,-0.00038,0.00783
2017/11/15,0.01489118,-0.048389931,0.104009968,0.106837607,-0.010516252,-0.027659574,0.016578143,-0.024390244,0.036211699,0.016097561,-0.00530,-0.00432,0.00647,0.13287
2017/11/16,0.034236268,-0.247597627,0.078325246,0.019305019,-0.002657005,-0.078227571,0.119379354,0,-0.008333333,0.089294287,0.00852,0.01318,0.00605,-0.10434
2017/11/17,-0.06438705,0.314084617,-0.019574263,-0.015909091,0.004238314,-0.073590504,-0.047241867,-0.064166667,-0.030089455,-0.013221684,-0.00259,-0.00152,0.00195,-0.02806
2017/11/18,0.022550544,0.055428702,0.010514354,0.016166282,0.045007838,0.106342088,0.030581948,0.07747106,0.016489659,0.016078607,0.00000,0.00000,0.00000,0.00000
2017/11/19,0.06730038,-0.056916977,0.033637454,0.029545455,0.022933795,-0.078749276,0.033707865,0.041322314,0.003574374,0.02021978,0.00000,0.00000,0.00000,0.00000
2017/11/20,0.054506591,0.065903703,0.025122348,0.010301692,0.036971235,0.013199246,0.008639911,-0.024603175,0.058082192,0.036622146,0.00131,0.00118,0.00300,-0.06824
2017/11/21,-0.04222973,-0.062268982,-0.017553116,0.002184996,-0.019553452,-0.022332506,-0.034125449,0.048820179,-0.01941999,-0.036575229,0.00656,0.01058,0.00478,-0.08638
2017/11/22,0.010934744,0.108645388,0.016614876,0.339389535,0.056363031,0.075507614,0.030324703,0.117145074,0.116979139,0.028904228,-0.00066,0.00076,0.00454,0.01542
2017/11/23,-0.043614794,0.285814331,-0.026855141,0.036896365,0.067561181,-0.029498525,0.012633625,-0.038194444,-0.045626478,0.006289308,0.00000,0.00000,-0.00007,0.00000
2017/11/24,0.029186428,-0.030117309,0.023384552,-0.006279435,0.157070123,0.174468085,0.063065533,0.090974729,0.001486252,0.004166667,0.00210,0.00318,0.00222,-0.02126
2017/11/25,0.080113435,-0.048615225,0.067540972,0.092153765,-0.01237166,-0.064699793,0.145086407,0.025810721,0.070492209,0.032365145,0.00000,0.00000,0.00000,0.00000
2017/11/26,0.198884148,0.118187715,0.064391772,-0.057859209,0.012763393,-0.000553403,-0.02871945,0.076774194,0.122920518,-0.015273312,0.00000,0.00000,0.00000,0.00000
2017/11/27,0.380235423,-0.079139862,0.044511838,0.005629478,0.009988524,0.029900332,0.05507885,0.052127022,0.244855967,0.008163265,-0.00027,-0.00154,0.00185,0.02068
2017/11/28,1.368107894,-0.063981908,0.017757778,0.201017812,-0.018874674,-0.047311828,0.035498406,0.138382688,0.320495868,0.131578947,0.00989,0.00500,0.00177,0.01621
2017/11/29,-0.24681742,-0.096264242,-0.00688267,-0.133898305,-0.083320823,-0.156320542,-0.093504564,-0.12106053,-0.172987858,-0.158139535,-0.00024,-0.01266,0.00206,0.06680
2017/11/30,0.339931057,-0.018207272,0.011069481,0.004403131,0.01738337,0.123076923,0.006205362,-0.163346614,0.099137279,0.001274968,0.00856,0.00737,0.00853,0.05421
2017/12/01,0.102904564,0.086626416,0.091960598,0.036044812,0.061469472,0.058963669,0.153711892,0.086394558,0.204626825,0.049660441,-0.00198,-0.00383,-0.00211,0.01330
2017/12/02,0.003009782,-0.027271522,0.004719435,-0.02538787,-0.007842627,0.167604049,0.001714574,0.127113338,0.065500686,-0.012939749,0.00000,0.00000,0.00000,0.00000
2017/12/03,0.001500375,0.088657826,0.030558806,0.054510371,0.010590445,0.125240848,0.013894482,-0.001111111,-0.040231735,0.003277345,0.00000,0.00000,0.00000,0.00000
2017/12/04,0.017228464,0.019794214,0.033584648,0.114821592,0.008902141,-0.022260274,0.031479643,-0.012235818,0.08439526,0.005308289,-0.00103,-0.01054,0.00540,0.02187
2017/12/05,-0.077319588,-0.077724059,0.003718198,0.010668855,-0.027777183,0.387478109,-0.032540676,0.184684685,0.262756417,-0.05077173,-0.00369,-0.00193,0.00378,-0.02997
2017/12/06,-0.053471668,-0.0483429,0.178487769,0.049939099,-0.069345317,-0.096560429,-0.015125883,2.184410646,0.14122449,-0.066324347,-0.00009,0.00210,0.00123,-0.02736
2017/12/07,-0.129848229,-0.078628186,0.225515416,0.030935808,-0.003148078,-0.097100943,-0.030009094,0.043283582,-0.098712446,-0.067369386,0.00311,0.00545,0.00528,-0.07804
2017/12/08,0.135658915,0.116150071,-0.047637106,0.012003001,0.072634453,-0.059961315,0.304583333,-0.21316166,0.05952381,0.148402948,0.00561,0.00400,0.00230,-0.05709
2017/12/09,0.028156997,-0.011901522,-0.075038588,-0.050407709,0.046752557,0.000411523,0.245448738,0.254363636,-0.011985019,0.006846384,0.00000,0.00000,0.00000,0.00000
